    W        Theta    pip-p
 1420.0000  140.0000  0.4204E+00
 1420.0000  150.0000  0.4294E+00
 1420.0000  160.0000  0.4314E+00
 1420.0000  170.0000  0.4283E+00
 1420.0000  179.9000  0.4263E+00
 1430.0000    0.1000  0.1370E+01
 1430.0000   10.0000  0.1355E+01
 1430.0000   20.0000  0.1311E+01
 1430.0000   30.0000  0.1241E+01
 1430.0000   40.0000  0.1151E+01
 1430.0000   50.0000  0.1043E+01
 1430.0000   60.0000  0.9210E+00
 1430.0000   70.0000  0.7883E+00
 1430.0000   80.0000  0.6551E+00
 1430.0000   90.0000  0.5382E+00
 1430.0000  100.0000  0.4533E+00
 1430.0000  110.0000  0.4068E+00
 1430.0000  120.0000  0.3934E+00
 1430.0000  130.0000  0.4006E+00
 1430.0000  140.0000  0.4147E+00
 1430.0000  150.0000  0.4251E+00
 1430.0000  160.0000  0.4273E+00
 1430.0000  170.0000  0.4239E+00
 1430.0000  179.9000  0.4217E+00
 1440.0000    0.1000  0.1319E+01
 1440.0000   10.0000  0.1307E+01
 1440.0000   20.0000  0.1271E+01
 1440.0000   30.0000  0.1211E+01
 1440.0000   40.0000  0.1130E+01
 1440.0000   50.0000  0.1030E+01
 1440.0000   60.0000  0.9109E+00
 1440.0000   70.0000  0.7782E+00
 1440.0000   80.0000  0.6428E+00
 1440.0000   90.0000  0.5232E+00
 1440.0000  100.0000  0.4373E+00
 1440.0000  110.0000  0.3920E+00
