    W        Theta    pi0-p       pip-n
 1260.0000  120.0000  0.8510E-01  0.2594E+00
 1260.0000  130.0000  0.7085E-01  0.2824E+00
 1260.0000  140.0000  0.5885E-01  0.3124E+00
 1260.0000  150.0000  0.4824E-01  0.3449E+00
 1260.0000  160.0000  0.3912E-01  0.3743E+00
 1260.0000  170.0000  0.3266E-01  0.3949E+00
 1260.0000  179.9000  0.3029E-01  0.4022E+00
 1270.0000    0.1000  0.3357E+00  0.8378E+00
 1270.0000   10.0000  0.3300E+00  0.8160E+00
 1270.0000   20.0000  0.3144E+00  0.7553E+00
 1270.0000   30.0000  0.2929E+00  0.6684E+00
 1270.0000   40.0000  0.2697E+00  0.5712E+00
 1270.0000   50.0000  0.2470E+00  0.4779E+00
 1270.0000   60.0000  0.2251E+00  0.3978E+00
 1270.0000   70.0000  0.2027E+00  0.3352E+00
 1270.0000   80.0000  0.1790E+00  0.2906E+00
 1270.0000   90.0000  0.1541E+00  0.2621E+00
 1270.0000  100.0000  0.1297E+00  0.2480E+00
 1270.0000  110.0000  0.1078E+00  0.2466E+00
 1270.0000  120.0000  0.8954E-01  0.2568E+00
 1270.0000  130.0000  0.7495E-01  0.2771E+00
 1270.0000  140.0000  0.6290E-01  0.3049E+00
 1270.0000  150.0000  0.5232E-01  0.3359E+00
 1270.0000  160.0000  0.4321E-01  0.3642E+00
 1270.0000  170.0000  0.3670E-01  0.3841E+00
 1270.0000  179.9000  0.3430E-01  0.3912E+00
 1280.0000    0.1000  0.3211E+00  0.9290E+00
 1280.0000   10.0000  0.3164E+00  0.9039E+00
 1280.0000   20.0000  0.3038E+00  0.8340E+00
 1280.0000   30.0000  0.2865E+00  0.7344E+00
 1280.0000   40.0000  0.2678E+00  0.6234E+00
 1280.0000   50.0000  0.2491E+00  0.5173E+00
 1280.0000   60.0000  0.2302E+00  0.4267E+00
 1280.0000   70.0000  0.2096E+00  0.3560E+00
 1280.0000   80.0000  0.1864E+00  0.3053E+00
 1280.0000   90.0000  0.1611E+00  0.2721E+00
 1280.0000  100.0000  0.1356E+00  0.2540E+00
 1280.0000  110.0000  0.1125E+00  0.2490E+00
 1280.0000  120.0000  0.9351E-01  0.2558E+00
 1280.0000  130.0000  0.7859E-01  0.2731E+00
 1280.0000  140.0000  0.6653E-01  0.2983E+00
 1280.0000  150.0000  0.5608E-01  0.3271E+00
 1280.0000  160.0000  0.4707E-01  0.3540E+00
 1280.0000  170.0000  0.4060E-01  0.3729E+00
 1280.0000  179.9000  0.3821E-01  0.3798E+00
 1290.0000    0.1000  0.3049E+00  0.1031E+01
 1290.0000   10.0000  0.3015E+00  0.1002E+01
 1290.0000   20.0000  0.2923E+00  0.9220E+00
 1290.0000   30.0000  0.2797E+00  0.8081E+00
 1290.0000   40.0000  0.2659E+00  0.6818E+00
 1290.0000   50.0000  0.2516E+00  0.5617E+00
 1290.0000   60.0000  0.2359E+00  0.4596E+00
 1290.0000   70.0000  0.2171E+00  0.3802E+00
 1290.0000   80.0000  0.1943E+00  0.3229E+00
 1290.0000   90.0000  0.1682E+00  0.2848E+00
 1290.0000  100.0000  0.1414E+00  0.2625E+00
 1290.0000  110.0000  0.1170E+00  0.2536E+00
 1290.0000  120.0000  0.9708E-01  0.2567E+00
 1290.0000  130.0000  0.8175E-01  0.2705E+00
 1290.0000  140.0000  0.6968E-01  0.2927E+00
 1290.0000  150.0000  0.5940E-01  0.3191E+00
 1290.0000  160.0000  0.5058E-01  0.3441E+00
 1290.0000  170.0000  0.4422E-01  0.3619E+00
 1290.0000  179.9000  0.4186E-01  0.3683E+00
 1300.0000    0.1000  0.2891E+00  0.1144E+01
 1300.0000   10.0000  0.2870E+00  0.1111E+01
 1300.0000   20.0000  0.2814E+00  0.1020E+01
 1300.0000   30.0000  0.2738E+00  0.8900E+00
 1300.0000   40.0000  0.2653E+00  0.7468E+00
 1300.0000   50.0000  0.2555E+00  0.6114E+00
 1300.0000   60.0000  0.2429E+00  0.4968E+00
 1300.0000   70.0000  0.2258E+00  0.4079E+00
 1300.0000   80.0000  0.2030E+00  0.3437E+00
 1300.0000   90.0000  0.1758E+00  0.3002E+00
 1300.0000  100.0000  0.1474E+00  0.2735E+00
 1300.0000  110.0000  0.1214E+00  0.2606E+00
 1300.0000  120.0000  0.1003E+00  0.2598E+00
 1300.0000  130.0000  0.8444E-01  0.2700E+00
 1300.0000  140.0000  0.7229E-01  0.2888E+00
 1300.0000  150.0000  0.6218E-01  0.3124E+00
 1300.0000  160.0000  0.5357E-01  0.3352E+00
 1300.0000  170.0000  0.4736E-01  0.3516E+00
 1300.0000  179.9000  0.4505E-01  0.3575E+00
 1310.0000    0.1000  0.2756E+00  0.1269E+01
 1310.0000   10.0000  0.2749E+00  0.1231E+01
 1310.0000   20.0000  0.2730E+00  0.1127E+01
 1310.0000   30.0000  0.2704E+00  0.9799E+00
 1310.0000   40.0000  0.2671E+00  0.8183E+00
 1310.0000   50.0000  0.2618E+00  0.6662E+00
 1310.0000   60.0000  0.2523E+00  0.5381E+00
 1310.0000   70.0000  0.2365E+00  0.4391E+00
 1310.0000   80.0000  0.2134E+00  0.3675E+00
 1310.0000   90.0000  0.1846E+00  0.3186E+00
 1310.0000  100.0000  0.1539E+00  0.2874E+00
 1310.0000  110.0000  0.1259E+00  0.2704E+00
 1310.0000  120.0000  0.1034E+00  0.2656E+00
 1310.0000  130.0000  0.8669E-01  0.2720E+00
 1310.0000  140.0000  0.7432E-01  0.2873E+00
 1310.0000  150.0000  0.6431E-01  0.3079E+00
 1310.0000  160.0000  0.5588E-01  0.3283E+00
 1310.0000  170.0000  0.4982E-01  0.3432E+00
 1310.0000  179.9000  0.4756E-01  0.3487E+00
 1320.0000    0.1000  0.2670E+00  0.1403E+01
 1320.0000   10.0000  0.2676E+00  0.1360E+01
 1320.0000   20.0000  0.2691E+00  0.1242E+01
 1320.0000   30.0000  0.2713E+00  0.1077E+01
 1320.0000   40.0000  0.2729E+00  0.8956E+00
 1320.0000   50.0000  0.2718E+00  0.7256E+00
 1320.0000   60.0000  0.2651E+00  0.5831E+00
 1320.0000   70.0000  0.2501E+00  0.4734E+00
 1320.0000   80.0000  0.2260E+00  0.3941E+00
 1320.0000   90.0000  0.1949E+00  0.3396E+00
 1320.0000  100.0000  0.1614E+00  0.3039E+00
 1320.0000  110.0000  0.1308E+00  0.2830E+00
 1320.0000  120.0000  0.1063E+00  0.2745E+00
 1320.0000  130.0000  0.8853E-01  0.2772E+00
 1320.0000  140.0000  0.7570E-01  0.2892E+00
 1320.0000  150.0000  0.6561E-01  0.3069E+00
 1320.0000  160.0000  0.5726E-01  0.3251E+00
 1320.0000  170.0000  0.5128E-01  0.3385E+00
 1320.0000  179.9000  0.4905E-01  0.3434E+00
 1330.0000    0.1000  0.2663E+00  0.1544E+01
